CAN ID,Offset,Name,Unit,Scale,Type,Rate,Firmware,Comment,Name,Version
0x526,0:7,Knock detected,,,,50Hz,1.135 and newer,Visible for 250msec after a detected knock.,FAST7,1.3
0x526,1:0,Brake pedal active,,,int8,50Hz,1.135 and newer,,FAST7,1.3
0x526,1:1,Clutch pedal active,,,,50Hz,1.135 and newer,,FAST7,1.3
0x526,1:2,Speed limit active,,,,50Hz,1.135 and newer,,FAST7,1.3
0x526,1:3,GP limiter active,,,,50Hz,1.135 and newer,,FAST7,1.3
0x526,1:4,User cut active,,,,50Hz,1.135 and newer,,FAST7,1.3
0x526,1:5,ECU is logging,,,,50Hz,1.135 and newer,,FAST7,1.3
0x526,1:6,Nitrous active,,,,50Hz,1.135 and newer,,FAST7,1.3
0x526,1:7,SPARE,,,,50Hz,1.135 and newer,Reserved for future usage,FAST7,1.3
0x526,2,SPARE,,,int16,50Hz,1.135 and newer,Reserved for future usage,FAST7,1.3
0x526,4,Rev-limit RPM,rpm,1,int16,50Hz,1.135 and newer,,FAST7,1.3
0x526,6,SPARE,rpm,1,int16,50Hz,1.135 and newer,Reserved for future usage,FAST7,1.3
0x527,0,Acceleration Forward,G,"0,01",int16,50Hz,1.135 and newer,,FAST8,1.3
0x527,2,Acceleration Right,G,"0,01",int16,50Hz,1.135 and newer,,FAST8,1.3
0x527,4,Acceleration Up,G,"0,01",int16,50Hz,1.135 and newer,,FAST8,1.3
0x527,6,Lambda target,,"0,001",int16,50Hz,1.135 and newer,,FAST8,1.3
0x528,0,Knocklevel All peak,,1,int16,50Hz,1.135 and newer,,FAST9,1.3
0x528,2,Knock correction,deg,"0,1",int16,50Hz,1.135 and newer,,FAST9,1.3
0x528,4,Knock count,,1,int16,50Hz,1.135 and newer,,FAST9,1.3
0x528,6,Last knock cylinder,,1,int16,50Hz,1.135 and newer,,FAST9,1.3
0x540,0,Active boost table,,1,int8,10Hz,1.135 and newer,,SLOW11,1.3
0x540,1,Active Tune selector,,1,int8,10Hz,1.135 and newer,,SLOW11,1.3
0x540,2,Virtual fuel tank,L,"0,1",int16,10Hz,1.135 and newer,,SLOW11,1.3
0x540,4,Transmission temp,°C,"0,1",int16,10Hz,1.135 and newer,,SLOW11,1.3
0x540,6,Differential temp,°C,"0,1",int16,10Hz,1.135 and newer,,SLOW11,1.3
0x541,0,VVT intake cam 1 position,deg,"0,1",int16,10Hz,1.135 and newer,,SLOW12,1.3
0x541,2,VVT exhaust cam 1 position,deg,"0,1",int16,10Hz,1.135 and newer,,SLOW12,1.3
0x541,4,VVT intake cam 2 position,deg,"0,1",int16,10Hz,1.135 and newer,,SLOW12,1.3
0x541,6,VVT exhaust cam 2 position,deg,"0,1",int16,10Hz,1.135 and newer,,SLOW12,1.3
0x542,0,VVT intake cam target position,deg,"0,1",int16,10Hz,1.135 and newer,,SLOW13,1.3
0x542,2,VVT exhaust cam target position,deg,"0,1",int16,10Hz,1.135 and newer,,SLOW13,1.3
0x542,4,SPARE,,"0,1",int16,10Hz,1.135 and newer,Reserved for future usage,SLOW13,1.3
0x542,6,SPARE,,"0,1",int16,10Hz,1.135 and newer,Reserved for future usage,SLOW13,1.3
