Query,Qty,Manufacturer,MPN,Octopart URL,Part Description,Description,Schematic Reference,Internal Part Number,Lifecycle,Lead Time,RoHS,Total Qty (@ Batch Size: 1),SKU,SKU,SKU,SKU,SKU,Packaging,Packaging,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,MOQ,MOQ,URL,URL,URL,URL,URL,Distributor [Lowest Price (Selected)],SKU [Lowest Price (Selected)],Packaging [Lowest Price (Selected)],Unit Price (@ Batch Size: 1) [Lowest Price (Selected)],Line Total [Lowest Price (Selected)],Batch Total [Lowest Price (Selected)],In Stock [Lowest Price (Selected)],MOQ [Lowest Price (Selected)],URL [Lowest Price (Selected)],Notes
CL21B105KOF4PNE,2,Samsung,CL21B105KOF4PNE,https://octopart.com/cl21b105kof4pne-samsung-19832285,"Multilayer Ceramic Capacitor, 1 uF, 16 V, ± 10%, X7R, 0805 [2012 Metric]",CAP CER 1UF 16V X7R 0805,"C303, C304",,,22w,Compliant,2,1276-2929-1-ND,187-CL21B105KOF4PNE,82AC9439,,,Cut Tape,Tape & Reel,,,,0.19,0.2,0.017,,,383903,26457,75700,,,1,1,1,,,https://octopart.com/opatz8j6/a1?t=pxpWEB3oMq5z5ozSzuvbfTEcocSmfLcjdNEhke86-35MfalTPIq-y5-kmp4TVX8OlqHIF36fDB8yX5_K1SD_a315zyko-MtvJNI2gMhrdFPgTws4PmI_9Olg24ui2ubmi1rU-wrdzCM2zMrk6HiYuhiSwja846ormdWQy4sUnCA6I1SMs0kSOo7RMs3KlsPVc8L3J-gXER5Iyi5tFY-wuBfsteAo2sfQ5gkJI3vP_vDYUi4XiuSE7TIV9kV3NgT87C8x,https://octopart.com/opatz8j6/a1?t=n-Ksm7nQcmX9nzam5p_dMsrplVD0ijSApZpYOvrD4lVukhxoMbxUFgUoyrQ9VIuNw6hWGwqpcdgcEMnhkSgUpkDlPhBWuFRIGrOD6fXiVcZHsjh7ag578ota_8jW2gZi0EDNirgXOvsYM82yzNO4xqmDe9omhyL3htPsOc7mW86K0qWaGRtkHuPVb-n3Kt8dgVsOd4WzCftxCZQYjo5BDbvBt2Zp5-lBoYFdaoiqy4SQa6Yz51AzydGj8Iawc80_9KBOMuU,https://octopart.com/opatz8j6/a1?t=p0JZbHKVeGABxSB_Hspbc_NkM1ziqLQDkVQWZC9JP18KJxNuX88TPvtgfGGKuJhYi_tckqZgVhkPsht8T8tKazU_zuia-IlDzz3Tz0GqjuTPaXwgpNo6BPe4R2Ov4QPu10n9bwDJVjTYIAwS0Yk4HBzbJQV1s1rRnpIeLrtnN2SL5Wvl8Df_RC-1jq6vRsHfamPWA5W643iTlMMrKHyFF3jxH-j7Hxy4KXDMn3NMNX5au8WPe7jRj6-SpQckW_7xGPdwS3I,,,Newark,82AC9439,,0.017,0.034,0.034,75700,1,https://octopart.com/opatz8j6/a1?t=p0JZbHKVeGABxSB_Hspbc_NkM1ziqLQDkVQWZC9JP18KJxNuX88TPvtgfGGKuJhYi_tckqZgVhkPsht8T8tKazU_zuia-IlDzz3Tz0GqjuTPaXwgpNo6BPe4R2Ov4QPu10n9bwDJVjTYIAwS0Yk4HBzbJQV1s1rRnpIeLrtnN2SL5Wvl8Df_RC-1jq6vRsHfamPWA5W643iTlMMrKHyFF3jxH-j7Hxy4KXDMn3NMNX5au8WPe7jRj6-SpQckW_7xGPdwS3I,
C0402C508D3GAC7867,1,KEMET,C0402C508D3GAC7867,https://octopart.com/c0402c508d3gac7867-kemet-1863333,Cap Ceramic 0.5pF 25V C0G 0.5pF SMD 0402 125°C Paper T/R,CAP CER 0.5PF 25V C0G/NP0 0402,C503,,,27w,Compliant,1,399-C0402C508D3GAC7867CT-ND,,,C0402C508D3GAC7867,,Cut Tape,,,Bulk,,0.33,,,,,6159,,,0,,1,,,10000,,https://octopart.com/opatz8j6/a1?t=sJp20sy_TZoSr-5F7cQhiJDkko01X7pCfzHFV3CWu4bFHsMq58ANg3MPEUo0KXuBptB4yczBsjLvEcXCofVqOb_NZfBN7t-yWeNvxvCR4M9bjs5C8TXdafJbga42NZdniKCyqgzkgr9bgWZq5mLPTRh5kS0TFjV56HnwKxQXeio91HxO3V_scQu8Jw7K1yeovabAEF51mvDqYIM1leqGJzqypakM0rYCbBBiKMVe_6-aB172eF5DZP0DJIEUDLXK5CM,,,https://octopart.com/opatz8j6/a1?t=FlM_5mVmX6omjTwQQNkHixwkGgDDp3OX6mayCKXRnHJcf6-kfX_tog2atcKCppeEWctaQKz5gbi6bankPhHO7fEHdsK9VHyTeIR5nL9l5-f-kRqkb6Tl21BfBsbsgutsEsvd02ZF6lsnu9EqHrH2r382YoN3u-_wNPujdW-_EBmSCSOpyKVHr1njrEnQfOMfK5OODXgnoBugur226e7F-cHn7szbffndFgGmOPl5j8v0PfeIdhBmdtyEEHyKdV9SA5uw,,Digi-Key,399-C0402C508D3GAC7867CT-ND,Cut Tape,0.33,0.33,0.33,6159,1,https://octopart.com/opatz8j6/a1?t=sJp20sy_TZoSr-5F7cQhiJDkko01X7pCfzHFV3CWu4bFHsMq58ANg3MPEUo0KXuBptB4yczBsjLvEcXCofVqOb_NZfBN7t-yWeNvxvCR4M9bjs5C8TXdafJbga42NZdniKCyqgzkgr9bgWZq5mLPTRh5kS0TFjV56HnwKxQXeio91HxO3V_scQu8Jw7K1yeovabAEF51mvDqYIM1leqGJzqypakM0rYCbBBiKMVe_6-aB172eF5DZP0DJIEUDLXK5CM,
C0402C129D3GAC7867,1,KEMET,C0402C129D3GAC7867,https://octopart.com/c0402c129d3gac7867-kemet-83501871,Cap Cer 1.2PF 25V C0G/NP0 0402,CAP CER 1.2PF 25V C0G/NP0 0402,C520,,,27w,Non-Compliant,1,399-14883-1-ND,,,C0402C129D3GAC7867,,Cut Tape,,,Bulk,,0.36,,,,,923,,,0,,1,,,10000,,https://octopart.com/opatz8j6/a1?t=1zUdPWxrW1XyLyovK5JWVEqnaDhUE6GfiLU7G7SI2P2fGWk5Bpo5jginHtiXgxhlX9NG0VqADE99c0zmobWh6yC8BNl-z8v7nAv_7QQKDS4CT_uJb3fHZK1DNePljYWdCFhSYADk3hOddk7QFL04t6uiOMcDdbEaCwxxPl_zSuIX_wubeuUo2yKRxtG-qxThFr6ZczwRSh4zmZ-0GjsAkcr73N6m4ny1MoouVrC6qi2KfNjlxq-l8O2MAUcwN-VklnRe,,,https://octopart.com/opatz8j6/a1?t=oYkXIR4UEdKSATsPhrlNpnGGMjjMiF1DOAOgKnnZAlfYFNnYzss-ILrtW32jXeEhdZELmpcroH96Al4X5JTg-lTPOHroyy7vy0sNHtLDIokv-W1yqDaMLihyTo8wF4koPkMPJGpF_v6jF8_Rh9IHcJ3UbeMDxkxKRvnzLaPQ5XO-xKtW-oUZpJ_n2igCX_wcnZp1D2sTXRvjStsasZpg0tE-D5q6wKoit9d6DINxHL32Ek2XBiI6FKA2h-nlhB6IkgcL3A,,Digi-Key,399-14883-1-ND,Cut Tape,0.36,0.36,0.36,923,1,https://octopart.com/opatz8j6/a1?t=1zUdPWxrW1XyLyovK5JWVEqnaDhUE6GfiLU7G7SI2P2fGWk5Bpo5jginHtiXgxhlX9NG0VqADE99c0zmobWh6yC8BNl-z8v7nAv_7QQKDS4CT_uJb3fHZK1DNePljYWdCFhSYADk3hOddk7QFL04t6uiOMcDdbEaCwxxPl_zSuIX_wubeuUo2yKRxtG-qxThFr6ZczwRSh4zmZ-0GjsAkcr73N6m4ny1MoouVrC6qi2KfNjlxq-l8O2MAUcwN-VklnRe,
106AXZ035M,1,Illinois Capacitor,106AXZ035M,https://octopart.com/106axz035m-illinois+capacitor-52507,Electrolytic Capacitor 10 Uf 35 Wvdc *no Pb* Rohs Compliant: Yes,CAP ALUM 10UF 20% 35V SMD,C602,,,27w,Compliant,1,1572-1282-1-ND,,84M4115,,,Cut Tape,,,,,0.51,,,,,8752,,0,,,1,,48000,,,https://octopart.com/opatz8j6/a1?t=8LlQbt-hAfjfW7oU0gsq0tT0MxgQUUeTAWa_I-Ie5mC0Euo1PwyAov5pd94etR0Eme6nAwhpLovsgDBtvRTbmPTV9e16ZRgy29qW1hsELWftJCIRAAObv3pOAtzvZTkE-yMN2DmAZfbXRJ0lZrlfwyBrHgY8Pyi689M5AmJTTe4PrO3nWr26CGPPU_ZwnxmApf-a_BRVW53d4glzDcOuYf3yCPoYT9n8e618jKlyAl53eSQDGcTa6arktSrWjgdF,,https://octopart.com/opatz8j6/a1?t=gsGypIjvWVH_fefKNtlGvf9STc9xPsMw43VOsBkAnX4q64RvgirbaPXImDI-J73ETtyRvdVdL44Ezd7hbuBnPlBgq5hU5rL3McI6sFGUMtp8BgTdITOXR_5QQ34_IlqAGxVm0vYlcnN730SoR5MgXQwOt2Xx5t3bEeXyP82y0gWtqmIHBhkhSkUUvz_822ZCPJMX5fMifo3rg-TPrQsiRGvA3A42OfLFur0YoLNx39_pMceBTYM2HqiFjDbuaR1B,,,Digi-Key,1572-1282-1-ND,Cut Tape,0.51,0.51,0.51,8752,1,https://octopart.com/opatz8j6/a1?t=8LlQbt-hAfjfW7oU0gsq0tT0MxgQUUeTAWa_I-Ie5mC0Euo1PwyAov5pd94etR0Eme6nAwhpLovsgDBtvRTbmPTV9e16ZRgy29qW1hsELWftJCIRAAObv3pOAtzvZTkE-yMN2DmAZfbXRJ0lZrlfwyBrHgY8Pyi689M5AmJTTe4PrO3nWr26CGPPU_ZwnxmApf-a_BRVW53d4glzDcOuYf3yCPoYT9n8e618jKlyAl53eSQDGcTa6arktSrWjgdF,
	 RB496EATR-ND,2,ROHM,RB496EATR,https://octopart.com/rb496eatr-rohm-332914,RB496EA Series 20 V 1 A Surface Mount Schottky Barrier Diode - TSMD-5,DIODE ARRAY SCHOTTKY 20V TSMD5,"D301, D304",,Production (Last Updated: 2 years ago),12w,Compliant,2,RB496EACT-ND,755-RB496EATR,78AC6418,,,Cut Tape,Tape & Reel,,,,0.58,0.53,,,,3000,11741,136,,,1,1,5,,,https://octopart.com/opatz8j6/a1?t=9uSzVKkTL6UxrJiwzr9SmhsyhllVYFl7x6Mmwn9qD0YZ1Ii8EcX7yoqOp-RKpKN_3wZvCe7pGKBnK2R2Upkp6vYIzMdV4bNCyd9DV-lrOlC66vwPtCBdDqyV7LH4-ZhHFiXYMn_-ACjtMCMhM_VyNAYZ2d7r_oWi1A5ftjwFo1cItWuwF3CutPAov7atR8LlqghqXJN53Wu_KuoXti2Efo7HY4Vcm6jn2YHqHyIb9eHVfaILgqu29tD9VduvURw0,https://octopart.com/opatz8j6/a1?t=ztq4tvf5Knfa3WS-41HCGGFM4y54QpqzYfnmrtvg-dFsXLAlGpt33KwhpzOIP6blZn7YKeHP_10Q_Vf9ncMxlFCVL2TnKisfk9sg515wwOmhaRxuVR42nORMbXassgZMJDcAiOLSe-VDiPC4cKeLNXdiGyjRnEIFeQrJ7uZv2x4twne9E_YMgDCSZf8RTAE_l6ANZzTBxza4Ph2RkYzhW3Q5KFrf3Y6zoSEqMnLau09dxtOG2RXrAsNptWQxjgz6hg,https://octopart.com/opatz8j6/a1?t=i8CFjZ1ELvcpeO2Jqc8s45MIB1KzL7FL8BrWiFLrHAb6T3ccckImFj4C4O3EVHe9B3fuLQkwOjH4GH3LG8HwulzCIvRPpCGrXtLBf0FDxwJy2VriNxdtjUIxuI6ugxFZ8fVW2EPAYDkkZVDIn1-FwDn-RLd0xT6K-AGuL2ToQPrDc3n0yODvAwpg2fcqGvPBaomBL-1k7h__5RaJihtEePCWVcyCDi_GYRAzqWxszobU4xmlnVGvk1uWOQfN22G-1YI,,,Mouser,755-RB496EATR,Tape & Reel,0.53,1.06,1.06,11741,1,https://octopart.com/opatz8j6/a1?t=ztq4tvf5Knfa3WS-41HCGGFM4y54QpqzYfnmrtvg-dFsXLAlGpt33KwhpzOIP6blZn7YKeHP_10Q_Vf9ncMxlFCVL2TnKisfk9sg515wwOmhaRxuVR42nORMbXassgZMJDcAiOLSe-VDiPC4cKeLNXdiGyjRnEIFeQrJ7uZv2x4twne9E_YMgDCSZf8RTAE_l6ANZzTBxza4Ph2RkYzhW3Q5KFrf3Y6zoSEqMnLau09dxtOG2RXrAsNptWQxjgz6hg,
BYS10-45HE3_A/H,2,Vishay,BYS10-45HE3_A/H,https://octopart.com/bys10-45he3_a%2Fh-vishay-80981053,Rectifier Diode Schottky 45V 1.5A Automotive 2-Pin SMA T/R,DIODE SCHOTTKY 45V 1A DO214AC,"D302, D305",,,47w,,2,BYS10-45HE3_A/HGICT-ND,78-BYS10-45HE3_A/H,23AJ5974,,,Cut Tape,Tape & Reel,,,,0.4,0.35,,,,15249,4136,0,,,1,1,18000,,,https://octopart.com/opatz8j6/a1?t=B7TxWTYMF3B3nDFZEu9CA8QAd4U7nE93VlgMvVrAkQDyVQ2riyZYzRy1EHYhnz7yL-3YiIw_xT7xoA8Qee2TBzXz3jN4K0B8KhaKuwXw0GiG1g_v4hm0K1N6v560c_aIOaYdw-XSKQCul09VWZKqrxsumCGotV8hN-9ClgBwaWyvxHA6BHLz06IvfCVnVm-oOVJpNXy2awJiHoKlgzeZvYH0pBelxH0QxCdm9TE3L-xM4D7F2knpp-aZ9NaZTtMXvUVm,https://octopart.com/opatz8j6/a1?t=kctiihCBKJKEg4JqgnQ_-lI5EKz5f9kAOd_Xg05z408zUTfQv9iNSPAtN_dx8smWCgNPe0wpUZxgUec3hVKgH1-y0-FshsbJp2wFe_aO1l1IQxAdBURXMs5pgKlfemtRfvcVVz4DCPN-lrdp-7ExPtliYUpzRPGdhzrUnQWBHv1422ytjswCdl3AVCxgYXLfVd70WSa-rjZzfWed1YKPHroaQBVahKVE6qwHt5-BL1DJR7U-ucx3JG0oMShCpEpzaQ_R2g,https://octopart.com/opatz8j6/a1?t=j0AGIGrOUxYrK0eUVZpnmol0egh7YDUEKc_Iv18pzBhjyKvbZYEJaWF3tTmiJaQ0U-DxZAANxy0LwEmLZfktpmxPS39FYkSVEjg7ZtqDqmDavIhDlkvyeGBjApIpCHCrK2MBLmECuuO6-Gwe093dfUMLGagw45Xe0NlWfquOvZX4q95dWl5Zgxmr7PpgWLYnEs-4pDoAQMiGlX3o2XHBz10yxbV-Hy0utkITR2FOpkk17HU30vCH8D1ZGkHCk2i57x_aTQ,,,Mouser,78-BYS10-45HE3_A/H,Tape & Reel,0.35,0.7,0.7,4136,1,https://octopart.com/opatz8j6/a1?t=kctiihCBKJKEg4JqgnQ_-lI5EKz5f9kAOd_Xg05z408zUTfQv9iNSPAtN_dx8smWCgNPe0wpUZxgUec3hVKgH1-y0-FshsbJp2wFe_aO1l1IQxAdBURXMs5pgKlfemtRfvcVVz4DCPN-lrdp-7ExPtliYUpzRPGdhzrUnQWBHv1422ytjswCdl3AVCxgYXLfVd70WSa-rjZzfWed1YKPHroaQBVahKVE6qwHt5-BL1DJR7U-ucx3JG0oMShCpEpzaQ_R2g,
LTST-C191KGKT,1,Lite-On,LTST-C191KGKT,https://octopart.com/ltst-c191kgkt-lite-on-549907,LED Low-Power Uni-Color Green 574nm 2-Pin Chip LED T/R,LED GREEN CLEAR SMD,D303,,,20w,Compliant,1,160-1446-1-ND,859-LTST-C191KGKT,,,6921010,Cut Tape,Tape & Reel,,,,0.26,0.26,,,,1770325,1242960,,,34150,1,1,,,50,https://octopart.com/opatz8j6/a1?t=0Nr53FLk01b9dWEfKbQqwJ2Tzxf9twWr3UPl5huYnJP_7nH-HrTBRw-Au5HRCDi_Hxy9DgmZN65lCS9CL_Z6usoo6or-QDqNgwoVbMd0RjlCAyrOa9dvy0F7zmn_aD-327awLbafWe6SfcIQnLtCYHhEDYd_JTym5fp1y7PzOVI-a5Qb4vflsILZ-SBbacUj6GC0bWykwHgvG1lwWXtOQibRcFcC1jV5YXM2Wz23J1PT3Jbfc0Oj3JhsfmJIF6A,https://octopart.com/opatz8j6/a1?t=o0_lXeRMjAsn7lvmNdCCSpxoRBSXNc_ZrbV3F6hn0Hb4kyQLsR8rVFNLv4DyRMUYxte_989cEAqXIvXprpHd9SZLuQtvaWRM5MUPsayru8lQUpQSnNDcQRPwBqSx2VFhByh3impI4MDFOtb-3AbsU58sBqDR6Nk_KYATf51iMniZHKYW7sZ7DNjYrVBObHB_bd3tH12a0qYe7KBjkydtigHgvNPWguNGplCRotaahgxOwH2HAyWPXX0LAQKlyxUW3g,,,https://octopart.com/opatz8j6/a1?t=3iHmgT5tGZPvfsFxSICZ6A83tTEry8FbD2KxTxdy1KQltL1IiFV2ISIGig7hqgTzc2O_BUUq5xyXDnUxfqzzx1ucbU4SM3SyZt2gJ4egQLCpCTw1P-aOatnq41R78__lM1HKbAr7JcwszOzzb6kETNeNgMljKarTTY0FfH61QyDMjxovpPODIUZh-komsj7DpeG4cEhGDTAJKMC2Sji22rq858fyYPpK3ApFLDD6qwwxw607sZEf3pY_YjMYu_A11DS1,Digi-Key,160-1446-1-ND,Cut Tape,0.26,0.26,0.26,1770325,1,https://octopart.com/opatz8j6/a1?t=0Nr53FLk01b9dWEfKbQqwJ2Tzxf9twWr3UPl5huYnJP_7nH-HrTBRw-Au5HRCDi_Hxy9DgmZN65lCS9CL_Z6usoo6or-QDqNgwoVbMd0RjlCAyrOa9dvy0F7zmn_aD-327awLbafWe6SfcIQnLtCYHhEDYd_JTym5fp1y7PzOVI-a5Qb4vflsILZ-SBbacUj6GC0bWykwHgvG1lwWXtOQibRcFcC1jV5YXM2Wz23J1PT3Jbfc0Oj3JhsfmJIF6A,
BZT52HC3V3WF-7,2,Diodes Inc.,BZT52HC3V3WF-7,https://octopart.com/bzt52hc3v3wf-7-diodes+inc.-73883946,"Zener Diode, 3.3V, 0.375W, Sod-123F Rohs Compliant: Yes",DIODE ZENER 3.3V 375MW SOD123F,"D601, D602",,,35w,Compliant,2,BZT52HC3V3WF-7DICT-ND,621-BZT52HC3V3WF-7,81AH8812,,,Cut Tape,Tape & Reel,,,,0.28,0.27,,,,1392,4032,2115,,,1,1,5,,,https://octopart.com/opatz8j6/a1?t=aRl2oRrkktRgdicO_ko0nsIglJDRkH_j7glh079vDRl6IoSLqFyxZpkjDW-XPGsESRSnYBE1oMR9-jFhw8ZM4dAj7-81bl8sWAeUa6hHuQvTxqd0y3eD4AVHUmev-tmhY0MQdmuFiW8NyGNCRUNejyuiR_oKEpGgpKHoOLmtlwXg_XRvrKhB2zWPmMsn60yWEnGnOuqynNDydQzM_Ci6ZdxXnWup41yg-0b71koEh1dKs46PcgwSS270RvZSD3oU4MnZ,https://octopart.com/opatz8j6/a1?t=9FE_kUKfKpZnEDjFiLSFcrzOgh9q52bEGPMEpR2I9TMmb7e2LSQp2AJcS5P9UVcE38hHDyyfM9XFzldGCmObS_zWLrS3Kut69Osxj7qiGFy_66OcObI57Rx_ORry2ZBOYKlSQ1GZ_PPh3xpU_QsoMna_fxHvfKiVb_Wf4mDEisX5LARca2u1_qtrFz9I14QUsYoMsrPVTxvUCzGGhGXLzGdUQdhNn8Gi6hlOSo8n-SysqTBo9vGzplhtIaLAqHdE2-jjdg,https://octopart.com/opatz8j6/a1?t=ZWsdjW_g93oOcTymnEtpsLfr5mkkGKVTGnJrpor5z0ziXHgTvT3W1nziPpWatYILp0GvUYyPszVsijpwAyW6lXxOuax3oNeK9tblqoolipUkLOQwK_mS77FUFyy831i-nnsOsxc8KONwBiPwd9BhpRdf6NXwt-9F-dzzd8rNFOpUgVeCqX9KShXwGc0NI0D7Lw-Raq1y-UKOPzVXERdUcU0vD2nuWMoaXGlWLfUvfuoKQg352FUQyX06eMaYGsvO4ena7Q,,,Mouser,621-BZT52HC3V3WF-7,Tape & Reel,0.27,0.54,0.54,4032,1,https://octopart.com/opatz8j6/a1?t=9FE_kUKfKpZnEDjFiLSFcrzOgh9q52bEGPMEpR2I9TMmb7e2LSQp2AJcS5P9UVcE38hHDyyfM9XFzldGCmObS_zWLrS3Kut69Osxj7qiGFy_66OcObI57Rx_ORry2ZBOYKlSQ1GZ_PPh3xpU_QsoMna_fxHvfKiVb_Wf4mDEisX5LARca2u1_qtrFz9I14QUsYoMsrPVTxvUCzGGhGXLzGdUQdhNn8Gi6hlOSo8n-SysqTBo9vGzplhtIaLAqHdE2-jjdg,
ACDBA340-HF,8,Comchip,ACDBA340-HF,https://octopart.com/acdba340-hf-comchip-81872458,Rectifier Diode Schottky 40V 3A Automotive 2-Pin SMA T/R,DIODE SCHOTTKY 40V 3A DO214AC,"D603, D604, D605, D606, D607, D608, D609, D610",,,12w,Non-Compliant,8,641-1877-1-ND,750-ACDBA340-HF,,,,Cut Tape,Tape & Reel,,,,0.44,0.51,,,,142678,14739,,,,1,1,,,,https://octopart.com/opatz8j6/a1?t=QTLKe2CwYRGC0mH8vgvZiK393wA5boeB5LX_dAmoqzjAsreYtaaEBqiBOZqaRil7BZ5AKp_Stxh8XLL8QC9J_bc4AkDImUzTj3kTGtLbC-R4H_i2lTtJGVE8fzRZhSXMAVcS7aTFGGvbFrfH5Ef5afB7f_oxDwT5cTnyZFMjdAu26_jqY3n3c5nGn4lNTdWUX2C6AEDnx1Djcl8_ZMyLl4k7D5-_LrRFG9XQTDhNS-29V-RxRV1a4f5lu3uwd39m_bCm,https://octopart.com/opatz8j6/a1?t=LmtbZ2_ZXcfUeqnE1mzLZ5PxGMc0N8pNNpTN52iTxsf2bru8ek-t77ZAco2K02qMWAOb-foIYSSFEmQtZrIN35y_wp4BcUG_v8qRUmN_9dGM2mTzG6oZr2HYYFdHVv-2wLw1t0wHUrXvZ9fASjxGxrUNaGW1gRSqme33QuwH11AREM7BTnYSflwKT7m_nr-XzqhrMLYeRNjCVpG307vlQeCvlVBxDlDR0KBcmnjNaDrnSEwMfeFuSYSnSuDhSv8kDfTz5w,,,,Digi-Key,641-1877-1-ND,Cut Tape,0.44,3.52,3.52,142678,1,https://octopart.com/opatz8j6/a1?t=QTLKe2CwYRGC0mH8vgvZiK393wA5boeB5LX_dAmoqzjAsreYtaaEBqiBOZqaRil7BZ5AKp_Stxh8XLL8QC9J_bc4AkDImUzTj3kTGtLbC-R4H_i2lTtJGVE8fzRZhSXMAVcS7aTFGGvbFrfH5Ef5afB7f_oxDwT5cTnyZFMjdAu26_jqY3n3c5nGn4lNTdWUX2C6AEDnx1Djcl8_ZMyLl4k7D5-_LrRFG9XQTDhNS-29V-RxRV1a4f5lu3uwd39m_bCm,
U.FL-R-SMT-1(10),1,Hirose,U.FL-R-SMT-1(10),https://octopart.com/u.fl-r-smt-1%2810%29-hirose-42409530,Rf Connectors / Coaxial Connectors SMT Ml Rec Au 50 Ohm W/anti Sldr Wckng Rl,CONN U.FL RCPT STR 50 OHM SMD,J501,,Production (Last Updated: 2 years ago),26w,Compliant,1,H11891CT-ND,798-U.FL-R-SMT-110,50P8856,,1757510,Cut Tape,Tape & Reel,,,,1.22,1.43,1.43,,,32532,293808,223486,,8670,1,1,1,,5,https://octopart.com/opatz8j6/a1?t=WXE0O4rYlpZZZhkZjkHeqFU3taN5sCr3ZqQOhMP81FyH4brxM4SDt3bd97fvJyiFNqN5IWLUMq8jzzDbRyDLx45Tczr0gejNKOgmk-CKweCgDdri90wsZom-4pdBMuUYKNwPLPkkxYZz9TYZRVbtSEg1IHuu8eV2i9xZYevjbdZXWEjznMftqeqRQHyDz2MNkwof4KNVCPIU66ZwY91W95sEzLEkeijuW_pE8DIKwQpDJvEdv_2ZDuYth0TlRdJyHt-O,https://octopart.com/opatz8j6/a1?t=l-u5Q1qv5Ouzsa-w4mn9-HKSHj6Z16NPKRncbL8C5N1UrGp4Xe9iKmzA9cVGNtCVNiPzfBrZSsVGnd3SaOHKwRcbANfhRzZMdBqpWPmqj4uq1W9uUNUcEZWIxMOklbVWiUxz_3oXBemkCDG16I5jaOMmghrAEGCUPi_tX8l9RDr4ONrq8bspwxbXa_RUvDOds5iNkXYkS4Bmww-xNiXmyAalUoBdct_Jmo20vuOh8fhZ4aRvDDS1_kfX_Q07POC3vS7zKA,https://octopart.com/opatz8j6/a1?t=QtwM2QhpvmUXGz9LubAjlt1phBN0nktNOWWQOnWTlFBtFJp_3a7q3OWkHlT4mrTh67iIfVplTg2GSnULlU2xxQY6HgcfS9IJZKpsKbHUHkPlRuyCaTsX9CI60xNlejkcq2V2LnROhU3_0iwEQZ0syRcZaHgrlwwPHcUaoZSQ---Uc03dqW6yYGlaDfApK80fxxHb4MPhKvWbCE3V6tCr_kcskdtB_qqMGQgb_mleyZ_06HAcQIBBPtScCzFGdsXJ4ILKpg,,https://octopart.com/opatz8j6/a1?t=RlzL3GJyKOLb3K0AD3GtjNQ04VEKWoMXG5mJWXasG-B1FTNoxXUwu4oo_bwfi9XgdnefX795ezwSK-sodaKZkjB449ZDJ9GmvDjiCDY5eWTKDbRNRM8i5hLNV60y6-G39IGmjxQfdyvd79kEQ86e1qoEZck-O4xSZux1i1_EpricYoCCRz3F4X0ej2fgurDIzb5cjwoq88tjRdOyFMFOXK55rAzBwUbAIAoOyPdXiGa4MzSrdgrFZxiUJYKzDTX-Dxl9cZE,Digi-Key,H11891CT-ND,Cut Tape,1.22,1.22,1.22,32532,1,https://octopart.com/opatz8j6/a1?t=WXE0O4rYlpZZZhkZjkHeqFU3taN5sCr3ZqQOhMP81FyH4brxM4SDt3bd97fvJyiFNqN5IWLUMq8jzzDbRyDLx45Tczr0gejNKOgmk-CKweCgDdri90wsZom-4pdBMuUYKNwPLPkkxYZz9TYZRVbtSEg1IHuu8eV2i9xZYevjbdZXWEjznMftqeqRQHyDz2MNkwof4KNVCPIU66ZwY91W95sEzLEkeijuW_pE8DIKwQpDJvEdv_2ZDuYth0TlRdJyHt-O,
